date,value
20180826,0.00011843353299
20180827,0.000115727278448
20180828,7.62554453843731E-05
20180829,6.81020215981536E-05
20180830,5.09013699596388E-05
20180831,8.8690606256326E-05
20180901,6.48597393789001E-05
20180902,6.43574632704258E-05
20180902,0.000107826540867
20180903,0.000124558814518
20180904,8.69577129681905E-05
20180905,8.21081824445476E-05
20180906,7.51350695888201E-05
20180907,9.89554775139642E-05
20180908,0.000116246075914
20180909,7.10202730260789E-05
20180910,8.83642962928545E-05
20180911,7.04427657183259E-05
20180912,6.21444436118883E-05
20180913,5.18416145852967E-05
20180914,6.28566448675825E-05
20180915,0.00011507094106
20180916,0.000104973998482
20180917,6.97277657883731E-05
20180918,6.43599894829094E-05
20180919,7.26914498955011E-05
20180920,8.22269521130804E-05
20180921,0.00012298630074
20180922,9.73657103410611E-05
20180923,8.57773865031641E-05
20180924,7.66010125516913E-05
20180925,9.757061215008E-05
20180926,0.000126984185324
20180927,7.28236923574424E-05
20180928,2.09591526072472E-05
20180929,9.13755550068251E-05
20180929,8.52501303281473E-05
20180930,9.35088567159794E-05
20181001,0.000123372549812
20181002,0.000243179598137
20181003,0.000105624273419
20181004,4.95091468716661E-05
20181005,8.28776116433896E-05
20181006,7.86372366246212E-05
20181007,0.000195962451398
20181008,0.00020642346806
20181009,0.000100091092463
20181010,5.01529191483239E-05
20181011,4.08210924693516E-05
20181012,4.90722951741473E-05
20181013,3.56468028526325E-05
20181014,4.14037757425331E-05
20181015,4.88778996263064E-05
20181016,6.44909942315684E-05
20181017,5.83050823813184E-05
20181018,0.000125353762382
20181019,0.000180808629375
20181020,0.000111117600822
20181021,7.53948146379307E-05
20181022,7.2528438075729E-05
20181023,0.000102669062031
20181024,8.72495390164355E-05
20181025,2.9491277278534E-05
20181026,6.36685782900223E-05
20181027,8.75294208526611E-05
20181028,5.30934838343013E-05
20181029,8.13295614094503E-05
20181030,6.42854355129541E-05
20181031,6.37917457005152E-05
20181101,0.000155096917297
20181102,0.000148788369868
20181103,9.99129492126099E-05
20181104,7.80242003707422E-05
20181105,3.59233265044167E-05
20181106,4.91611131777366E-05
20181107,4.42945505533598E-05
20181108,5.16348036712613E-05
20181109,6.71099928416767E-05
20181110,7.43684501444198E-05
